parkingLotSeq,PArkingLotName,parkingLotNewAddr,parkingLotOldAddr,IsChecked,modifyDate,regDate
134282,남부민2동 제5 ,,부산광역시 서구 남부민동 692-12,0,2017-09-26 11:54:28,2016-05-12 22:06:58
159290,마장동축산물(평면),,서울특별시 성동구 마장동 525,0,2017-11-02 16:11:35,2016-08-18 12:33:43
159424,영등포구청환승,서울특별시 영등포구 양산로 111,서울특별시 영등포구 당산동3가 37-4,0,2020-05-22 17:09:29,2016-08-18 12:33:50
183403,강문 ,강원도 강릉시 창해로350번길 21 ,강원 강릉시 강문동 182-1,0,2017-11-06 19:16:19,2017-11-06 18:09:57
183588,북평 도로,강원도 동해시 대동로,강원 동해시 북평동 277,0,2017-11-07 18:11:21,2017-11-07 17:36:05
183605,센트로빌1,강원도 동해시 한섬로,강원 동해시 천곡동 1091,0,2017-11-07 18:53:33,2017-11-07 17:36:06
184563,여좌동,경상남도 창원시 진해구 여좌동8-1,경상남도 창원시 진해구 여좌동8-1,0,2017-11-13 17:05:09,2017-11-10 14:02:34
184875,마산역,경상남도 창원시 마산회원구 석전동267,경남 창원시 마산회원구 석전동 267,0,2017-11-14 11:36:46,2017-11-10 14:02:53
184956,영산강변공원,전라남도 나주시 삼영1길8,전남 나주시 삼영동 117-1,0,2017-11-14 16:26:16,2017-11-10 14:59:55
184978,나주역앞,전라남도 나주시 재신길 8-5,전남 나주시 송월동 1472,0,2017-11-14 16:24:04,2017-11-10 14:59:56
185071,경찰서1동쪽,,경남 진주시 중안동 17,0,2017-11-16 11:09:00,2017-11-10 15:03:23
185187,인평동 ,경상남도 통영시 평인일주로 65,경상남도 통영시 인평동 380-2,0,2017-11-15 16:07:18,2017-11-10 18:00:28
185378,월횡마을,경상남도 하동군 옥종면 월횡길 78,경상남도 하동군 옥종면 월횡리 78,0,2017-11-16 12:48:36,2017-11-13 15:39:54
185398,전대마을,경상남도 하동군 전대1길 132,경상남도 하동군 횡천면 전대리 463-3,0,2017-11-16 11:56:06,2017-11-13 15:39:55
185399,애치마을,경상남도 하동군 횡천면 숙재1길 139-1,경상남도 하동군 횡천면 애치리 578-2,0,2017-11-16 11:53:40,2017-11-13 15:39:55
185415,최참판댁,경상남도 하동군 악양면 평사리길 14,경상남도 하동군 악양면 평사리 378-11,0,2017-11-16 12:32:25,2017-11-13 15:39:56
185702,중앙시장5~대안로,,경북 안동시 광석동 257-8,0,2017-11-16 19:00:14,2017-11-14 18:23:51
185935,실옥동제1,,충청남도 아산시 실옥동 217-1,0,2017-11-20 16:54:45,2017-11-17 16:51:14
186233,중앙동,,전라북도 익산시 갈산동 1-1,0,2019-02-14 09:56:10,2017-11-22 12:41:22
186242,남부지구,,전북 익산시 인화동1가 176,0,2017-12-09 19:59:01,2017-11-22 12:41:22
186252,노상1지구,,충북 제천시 중앙로1가 221-1,0,2017-11-22 15:41:44,2017-11-22 14:50:07
186253,노상2지구,,충북 제천시 중앙로2가 160,0,2017-11-22 16:15:47,2017-11-22 14:50:07
186256,노상7지구,,충북 제천시 중앙로2가 160,0,2017-11-22 15:52:51,2017-11-22 14:50:07
186352,고성공설운동장 5,,강원 고성군 간성읍 상리 500,0,2017-11-23 16:21:31,2017-11-22 16:24:24
186353,고성공설운동장2,,강원 고성군 간성읍 상리 500,0,2017-11-23 16:03:07,2017-11-22 16:24:24
186354,고성공설운동장 4,,강원 고성군 간성읍 상리 439-1,0,2017-11-23 16:04:55,2017-11-22 16:24:24
186355,고성공설운동장 6,,강원 고성군 간성읍 상리 439-1,0,2017-11-23 16:03:56,2017-11-22 16:24:24
186374,화진포해양박물관1,,강원 고성군 현내면 초도리 94-3,0,2017-11-23 16:53:45,2017-11-22 16:24:25
186377,명파해수욕장 ,,강원 고성군 현내면 명파리 230-26,0,2017-11-23 16:42:11,2017-11-22 16:24:25
187229,고인돌 유적지,,전남 화순군 도곡면 효산리 산 81,0,2017-11-28 15:59:55,2017-11-24 17:31:18
189532,관사골 지구,,경북 영주시 영주동 158-1,0,2017-12-06 11:25:00,2017-12-05 19:19:56
189543,휴천3동 임시,,경북 영주시 휴천동 424-1,0,2017-12-06 11:21:48,2017-12-05 19:19:56
189545,영주시보건소,,경북 영주시 휴천동 466-6,0,2017-12-06 11:19:37,2017-12-05 19:19:56
189546,영주시청,,경북 영주시 휴천동 470,0,2019-03-12 16:38:04,2017-12-05 19:19:56
189553,한절마 주거환경개선,,경북 영주시 가흥동 322-4,0,2017-12-06 11:18:59,2017-12-05 19:19:56
189558,시외버스터미널 ,,경북 영주시 가흥동 672,0,2017-12-06 11:23:56,2017-12-05 19:19:57
189563,가흥신도시 임시,,경북 영주시 가흥동 1945,0,2017-12-06 11:18:38,2017-12-05 19:19:57
189588,상망동 임시,,경북 영주시 상망동 835-5,0,2017-12-08 22:06:58,2017-12-06 09:30:51
189744,GS타임즈 GS리테일원주혁신,,강원 원주시 혁신로 63,0,2018-01-11 18:39:15,2017-12-07 18:30:52
190414,한강프라자,경기도 김포시 김포한강11로 288-19,경기도 김포시 운양동 1297-9,0,2018-01-17 11:11:34,2018-01-16 18:56:38
